,Filename,Overview,Notes,Field,Format,Explanation
21,speed.csv,Contains various statistical values related to speed for each image.,"Calculation accuracy depends on the accuracy of location and capture time from the source metadata, which also depends on the accuracy of such data from the capturing device.",uuid,string,"Universally Unique IDentifier, unique for every image"
,,,,source,string,"Source of the image, either Mapillary or KartaView"
,,,,orig_id,int,Original ID of the image as specified by Mapillary or KartaView
,,,,seq_dist_m,float,Distance of the image's sequence in metres
,,,,seq_dist_km,float,Distance of the image's sequence in kilometres
,,,,seq_time_hr,float,Time duration of the image's sequence in hours 
,,,,seq_speed_kph,float,"Average speed of the image's sequence in km/h, calculated as the ratio of seq_dist_km to seq_time_hr"
,,,,seq_img_count,float,The count of images in the image's sequence
,,,,segmt_speed_mean_kph,float,The mean of all segment speeds in the image's sequence (segment is the interval between each pair of consecutive points in a sequence) 
,,,,segmt_speed_var_kph2,float,The variance of all segment speeds in the image's sequence
,,,,segmt_speed_max_kph,float,The maximum of all segment speeds in the image's sequence
,,,,segmt_speed_max5_mean_kph,float,The mean of the top five segment speeds in the image's sequence
,,,,distance_from_prev_m,float,Distance between the image and the previous image in metres
,,,,distance_from_prev_km,float,Distance between the image and the previous image in kilometres
,,,,time_from_prev_s,float,Time duration between the image and the prvious image in seconds
,,,,time_from_prev_hr,float,Time duration between the image and the prvious image in hours
,,,,avg_speed_from_prev_kph,float,"Average speed between the image and the previous image in km/h, calculated as the ratio of distance_from_prev_km to time_from_prev_hr"
