,Filename,Overview,Notes,Field,Format,Explanation
,,,,orig_id,int,Original ID of the image as specified by Mapillary or KartaView
,,,,h3_0,string,"Unique index of the hexagonal cell containing the location of the image, at level 0 (average edge length = 1281.256011 km)"
,,,,h3_1,string,"Unique index of the hexagonal cell containing the location of the image, at level 1 (average edge length = 483.0568391 km)"
,,,,h3_2,string,"Unique index of the hexagonal cell containing the location of the image, at level 2 (average edge length = 182.5129565 km)"
,,,,h3_3,string,"Unique index of the hexagonal cell containing the location of the image, at level 3 (average edge length = 68.97922179 km)"
,,,,h3_4,string,"Unique index of the hexagonal cell containing the location of the image, at level 4 (average edge length = 26.07175968 km)"
,,,,h3_5,string,"Unique index of the hexagonal cell containing the location of the image, at level 5 (average edge length = 9.854090990 km)"
,,,,h3_6,string,"Unique index of the hexagonal cell containing the location of the image, at level 6 (average edge length = 3.724532667 km)"
,,,,h3_7,string,"Unique index of the hexagonal cell containing the location of the image, at level 7 (average edge length = 1.406475763 km)"
,,,,h3_8,string,"Unique index of the hexagonal cell containing the location of the image, at level 8 (average edge length = 0.531414010 km)"
,,,,h3_9,string,"Unique index of the hexagonal cell containing the location of the image, at level 9 (average edge length = 0.200786148 km)"
,,,,h3_10,string,"Unique index of the hexagonal cell containing the location of the image, at level 10 (average edge length = 0.075863783 km)"
,,,,h3_11,string,"Unique index of the hexagonal cell containing the location of the image, at level 11 (average edge length = 0.028663897 km)"
,,,,h3_12,string,"Unique index of the hexagonal cell containing the location of the image, at level 12 (average edge length = 0.010830188 km)"
,,,,h3_13,string,"Unique index of the hexagonal cell containing the location of the image, at level 13 (average edge length = 0.004092010 km)"
,,,,h3_14,string,"Unique index of the hexagonal cell containing the location of the image, at level 14 (average edge length = 0.001546100 km)"
,,,,h3_15,string,"Unique index of the hexagonal cell containing the location of the image, at level 15 (average edge length = 0.000584169 km)"
7,instances.csv,Contains the count of instances (65 categories) detected in each image.,Based on panoptic segmentation results obtained with Mask2former model. Accuracy is dependent on model performance.,uuid,string,"Universally Unique IDentifier, unique for every image"
,,,,source,string,"Source of the image, either Mapillary or KartaView"
,,,,orig_id,int,Original ID of the image as specified by Mapillary or KartaView
,,,,Bird,int,Number of segmented instance
,,,,Ground-Animal,int,Number of segmented instance
,,,,Curb,int,Number of segmented instance
,,,,Fence,int,Number of segmented instance
,,,,Guard-Rail,int,Number of segmented instance
,,,,Barrier,int,Number of segmented instance
,,,,Wall,int,Number of segmented instance
,,,,Bike-Lane,int,Number of segmented instance
,,,,Crosswalk---Plain,int,Number of segmented instance
,,,,Curb-Cut,int,Number of segmented instance
,,,,Parking,int,Number of segmented instance
,,,,Pedestrian-Area,int,Number of segmented instance
,,,,Rail-Track,int,Number of segmented instance
,,,,Road,int,Number of segmented instance
,,,,Service-Lane,int,Number of segmented instance
,,,,Sidewalk,int,Number of segmented instance
,,,,Bridge,int,Number of segmented instance
,,,,Building,int,Number of segmented instance
,,,,Tunnel,int,Number of segmented instance
,,,,Person,int,Number of segmented instance
,,,,Bicyclist,int,Number of segmented instance
,,,,Motorcyclist,int,Number of segmented instance
,,,,Other-Rider,int,Number of segmented instance
,,,,Lane-Marking---Crosswalk,int,Number of segmented instance
,,,,Lane-Marking---General,int,Number of segmented instance
,,,,Mountain,int,Number of segmented instance
,,,,Sand,int,Number of segmented instance
,,,,Sky,int,Number of segmented instance
,,,,Snow,int,Number of segmented instance
,,,,Terrain,int,Number of segmented instance
,,,,Vegetation,int,Number of segmented instance
,,,,Water,int,Number of segmented instance
,,,,Banner,int,Number of segmented instance
,,,,Bench,int,Number of segmented instance
,,,,Bike-Rack,int,Number of segmented instance
,,,,Billboard,int,Number of segmented instance
,,,,Catch-Basin,int,Number of segmented instance
,,,,CCTV-Camera,int,Number of segmented instance
,,,,Fire-Hydrant,int,Number of segmented instance
,,,,Junction-Box,int,Number of segmented instance
,,,,Mailbox,int,Number of segmented instance
,,,,Manhole,int,Number of segmented instance
,,,,Phone-Booth,int,Number of segmented instance
,,,,Pothole,int,Number of segmented instance
,,,,Street-Light,int,Number of segmented instance
,,,,Pole,int,Number of segmented instance
,,,,Traffic-Sign-Frame,int,Number of segmented instance
,,,,Utility-Pole,int,Number of segmented instance
,,,,Traffic-Light,int,Number of segmented instance
,,,,Traffic-Sign-(Back),int,Number of segmented instance
,,,,Traffic-Sign-(Front),int,Number of segmented instance
,,,,Trash-Can,int,Number of segmented instance
,,,,Bicycle,int,Number of segmented instance
,,,,Boat,int,Number of segmented instance
,,,,Bus,int,Number of segmented instance
,,,,Car,int,Number of segmented instance
,,,,Caravan,int,Number of segmented instance
,,,,Motorcycle,int,Number of segmented instance
,,,,On-Rails,int,Number of segmented instance
,,,,Other-Vehicle,int,Number of segmented instance
,,,,Trailer,int,Number of segmented instance
,,,,Truck,int,Number of segmented instance
,,,,Wheeled-Slow,int,Number of segmented instance
,,,,Car-Mount,int,Number of segmented instance
,,,,Ego-Vehicle,int,Number of segmented instance
8,metadata_common_attributes.csv,"Contains the common basic metadata attributes that are provided by both Mapillary and KartaView, and those we computed for both sources.","Accuracy is subject to that of the original metadata provided by Mapillary / KartaView, which also largely depends on the accuracy of data provided by the capturing devices.",uuid,string,"Universally Unique IDentifier, unique for every image"
,,,,source,string,"Source of the image, either Mapillary or KartaView"
,,,,orig_id,int,Original ID of the image as specified by Mapillary or KartaView
,,,,lat,float,Latitude of the image
,,,,lon,float,Longitude of the image
,,,,datetime_local,datetime,"Calculated datetime (string) at which the image was captured, in the local timezone of where the image was taken"
,,,,year,int,The year in which the image was taken
,,,,month,int,The month in which the image was taken
,,,,day,int,The day in which the image was taken
,,,,hour,int,The hour in which the image was taken
,,,,width,int,Width of the image
,,,,height,int,Height of the image
,,,,heading,float,"Heading direction of the image, based on compass direction, in degrees"
,,,,projection_type,string,"Projection type of the image (i.e. perspective, spherical, fisheye, equirectangular, etc.)"
,,,,hFoV,float,Horizontal field of view (for Mapillary images: calculated using focal ratio and image dimensions; for KartaView images: directly obtained from metadata)
,,,,vFoV,float,Vertical field of view (for Mapillary images: calculated using focal ratio and image dimensions; for KartaView images: directly obtained from metadata)
,,,,sequence_index,int,The order index of the image in its sequence
,,,,sequence_id,string,Sequence ID of the image specified by Mapillary / KartaView
,,,,sequence_img_count,int,Number of images available in the sequence
9,metadata_kv.csv,Contains the metadata of each SVI originally provided by KartaView.,"The explanation of the fields is largely based on our interpretation of the documentation of KartaView API, which can be incomplete or absent for many attributes.",uuid,string,"Universally Unique IDentifier, unique for every image"
,,,,source,string,"Source of the image, either Mapillary or KartaView"
,,,,orig_id,int,Original ID of the image as specified by Mapillary or KartaView
,,,,kv_shotDate,datetime,"Datetime string at which the image was captured, in GMT"
,,,,kv_cameraParameters,json,"A json of floats: fNumber, fLen, vFOV, vZF, aperture"
,,,,kv_qualityDetails,json,[insufficient documentation]
,,,,kv_qualityLevel,int,Seems to be a level that indicates the quality of the image [insufficient documentation]
,,,,kv_qualityStatus,string,Seems to indicate the status of the quality calculation [insufficient documentation]
,,,,kv_autoImgProcessingResult,string,"Indicates how an image has been processed (e.g. blurred, original) [insufficient documentation]"
,,,,kv_autoImgProcessingStatus,string,Indicates whether an image has been processed (e.g. finished) [insufficient documentation]
,,,,kv_dateAdded,datetime,Datetime string at which the image was uploaded [insufficient documentation]
,,,,kv_dateProcessed,datetime,Datetime string at which the image was processed [insufficient documentation]
,,,,kv_distance,float,"Distance between the current image and its previous image, in metres"
,,,,kv_fieldOfView,float,Field of View of the image
,,,,kv_filepath,string,File path of the image [insufficient documentation]
,,,,kv_filepathLTh,string,File path of a large thumbnail of the image [insufficient documentation]
,,,,kv_filepathProc,string,File path of the processed image [insufficient documentation]
