uuid,source,orig_id,GID_0,COUNTRY,CC_1,ENGTYPE_1,GID_1,HASC_1,ISO_1,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,CC_2,ENGTYPE_2,GID_2,HASC_2,NAME_2,NL_NAME_2,TYPE_2,VARNAME_2,CC_3,ENGTYPE_3,GID_3,HASC_3,NAME_3,NL_NAME_3,TYPE_3,VARNAME_3,CC_4,ENGTYPE_4,GID_4,NAME_4,TYPE_4,VARNAME_4,CC_5,ENGTYPE_5,GID_5,NAME_5,TYPE_5
0035879d-7190-4504-bf7b-607bcded0bc5,Mapillary,479160326660933,NZL,New Zealand,9.0,Region,NZL.18_1,NZ.WG,NZ-WGN,Wellington,,Region,,47.0,City,NZL.18.8_1,NZ.WG.WE,Wellington,,City,,,,,,,,,,,,,,,,,,,,
003587ef-3ca8-45b8-8fad-fecf7f223677,KartaView,742861834,IDN,Indonesia,33.0,Province,IDN.10_1,ID.JT,ID-JT,Jawa Tengah,,Propinisi,,3375.0,City,IDN.10.16_1,ID.JT.PM,Kota Pekalongan,,Kota,,3375020.0,Sub-district,IDN.10.16.3_1,,Pekalongan Timur,,Kecamatan,,3375020006.0,Urban Community,IDN.10.16.3.6_1,Keputran,Kelurahan,,,,,,
00358ab6-b5c7-4666-af02-3ae3bd02c8eb,Mapillary,1123059184855459,GRC,Greece,,Decentralized administration,GRC.3_1,GR.AT,,Attica,Αττική,Apokentroménes dioikíseis,,,Region,GRC.3.1_1,,Attica,Αττική,Periféreia,,,Municipality,GRC.3.1.12_1,GR.AT.AT,Athens,Αθηναίων,Dímos,,,,,,,,,,,,
00358be5-7995-448e-8ac1-eef70ffb1ef6,KartaView,348540725,BRA,Brazil,,State,BRA.19_1,BR.RJ,BR-RJ,Rio de Janeiro,,Estado,,3304557.0,Municipality,BRA.19.68_2,,Rio de Janeiro,,Município,,,,,,,,,,,,,,,,,,,,
00358eb3-8cb0-4699-a220-fda4d4f1eb11,KartaView,1319685101,BRA,Brazil,,State,BRA.19_1,BR.RJ,BR-RJ,Rio de Janeiro,,Estado,,3304557.0,Municipality,BRA.19.68_2,,Rio de Janeiro,,Município,,,,,,,,,,,,,,,,,,,,
00358efa-14a8-49b8-822c-1e7023969d69,Mapillary,5420247814683409,AUS,Australia,2.0,State,AUS.10_1,AU.VI,AU-VIC,Victoria,,State,,24600.0,City,AUS.10.44_1,AU.VI.ME,Melbourne,,City,,,,,,,,,,,,,,,,,,,,
00359481-52c4-428d-9bc5-f237db5979ff,Mapillary,519609112810360,MEX,México,,State,MEX.19_1,MX.NL,,Nuevo León,,Estado,,,Municipality,MEX.19.40_2,,Monterrey,,Município,,,,,,,,,,,,,,,,,,,,
003595a5-2fde-4d52-97bd-267c336c3bd7,Mapillary,2989335694631948,PRT,Portugal,,District,PRT.12_1,PT.LI,PT-11,Lisboa,,Distrito,Lisbon|Lisbona|Lisbonne|Lissabon,1106.0,Municipality,PRT.12.7_1,PT.LI.LI,Lisboa,,Concelho,,,Parish,PRT.12.7.31_1,,Santa Justa,,Parish,,,,,,,,,,,,
003596db-eb35-4500-8a02-48cfcbee6c76,Mapillary,293851323191917,JPN,Japan,,Prefecture,JPN.8_1,JP.FS,JP-07,Fukushima,福島県,Ken,Hukusima,,City,JPN.8.38_1,,Nihonmatsu,二本松市,Shi,,,,,,,,,,,,,,,,,,,,
00359951-64a9-496f-b2b6-3013b4c571ed,Mapillary,5421833514557589,BRA,Brazil,,State,BRA.25_1,BR.SP,,São Paulo,,Estado,,3540606.0,Municipality,BRA.25.456_2,,Porto Feliz,,Município,,,,,,,,,,,,,,,,,,,,
003599fb-6211-4c27-be69-04f98612b3a9,Mapillary,635924564933372,CZE,Czechia,,Region,CZE.11_1,CZ.SK,,Prague,,Kraj,Prag |Hlavní město Praha,,District,CZE.11.1_1,,Praha 1,,Okres,,,,,,,,,,,,,,,,,,,,
00359bcb-391c-4e18-a85e-14d15ff0ed07,Mapillary,215252656773146,JPN,Japan,,Metropolis,JPN.41_1,JP.TK,JP-13,Tokyo,東京都,To,Edo|Yedo|Tokio|T¢quio,,Special Ward,JPN.41.48_1,,Suginami,杉並区,Special Ward,,,,,,,,,,,,,,,,,,,,
00359c63-2cec-413f-926d-887d44edcb01,Mapillary,866074657666812,BRA,Brazil,,State,BRA.12_1,BR.MT,BR-MT,Mato Grosso,,Estado,Matto Grosso,5106752.0,Municipality,BRA.12.97_2,,Pontes e Lacerda,,Município,,,,,,,,,,,,,,,,,,,,
00359de7-e604-4900-8050-44d7c633ccb6,KartaView,1041053978,MYS,Malaysia,,Federal Territory,MYS.4_1,MY.KL,,Kuala Lumpur,,Wilayah Persekutuan,Federal Territory of Kuala Lumpu,,Federal Territory,MYS.4.1_1,MY.KL.KL,Kuala Lumpur,,Wilayah Persekutuan,,,,,,,,,,,,,,,,,,,,
00359fcf-134f-4207-873b-e0b31b462402,Mapillary,573230420306628,BRA,Brazil,,State,BRA.19_1,BR.RJ,BR-RJ,Rio de Janeiro,,Estado,,3304557,Municipality,BRA.19.68_2,,Rio de Janeiro,,Município,,,,,,,,,,,,,,,,,,,,
0035a07d-f47a-4947-8c76-82e31e06cab3,KartaView,1270386605,ESP,Spain,5.0,Autonomous Community,ESP.14_1,ES.CN,,Islas Canarias,,Comunidad Autónoma,Canarias|Canary Islands|Canárias,35.0,Province,ESP.14.1_1,ES.CN.LP,Las Palmas,,Provincia,,,Comarca,ESP.14.1.1_1,,n.a. (144),,Comarca,,,Municipality,ESP.14.1.1.19_1,San Bartolomé de Tirajana,Municipality,,,,,,
0035a172-ce73-45db-9c3c-6ecfcb42c77c,Mapillary,305577144409006,USA,United States,,State,USA.5_1,US.CA,US-CA,California,,State,CA|Calif.,,County,USA.5.19_1,US.CA.LO,Los Angeles,,County,,,,,,,,,,,,,,,,,,,,
0035a358-e5d2-40c7-ad59-e8c7f919af40,Mapillary,499435677910826,FRA,France,,Region,FRA.4_1,FR.CN,FR-CVL,Centre-Val de Loire,,Région,,45.0,Department,FRA.4.6_1,FR.LT,Loiret,,Département,,,Districts,FRA.4.6.2_1,,Orléans,,Arrondissement,,,Canton,FRA.4.6.2.13_1,Orléans,Canton,,,Commune,FRA.4.6.2.13.1_1,Orléans,Préfecture de région
0035a3d5-d597-41dc-bdb5-94ac931bbf16,Mapillary,150728060352131,EST,Estonia,,County,EST.1_1,EE.HA,,Harju,,Maakond,Harjumaa|Harju maakond,,Town,EST.1.20_1,EE.HA.TA,Tallinn,,Linn,,,Administrative District,EST.1.20.3_1,,Kesklinna,,Linnaosa,,,,,,,,,,,,
0035a44f-1c66-4889-bc61-c102df6814a0,Mapillary,816880955880409,BRA,Brazil,,State,BRA.25_1,BR.SP,,São Paulo,,Estado,,3550308,Municipality,BRA.25.565_2,,São Paulo,,Município,,,,,,,,,,,,,,,,,,,,
0035a4a6-5a53-4423-a985-f74dbb983326,Mapillary,776377799684528,THA,Thailand,50.0,Province,THA.10_1,TH.CM,TH-50,Chiang Mai,จังหวัดเชียงใหม่,Changwat,,5001.0,District,THA.10.16_1,TH.CM.CM,Muang Chiang Mai,อำเภอเมืองเชียงใหม่,Amphoe,,,Sub district,THA.10.16.1_1,,,,Tambon,,,,,,,,,,,,
0035a52d-48a7-45d8-b24d-bc7fff737d4d,Mapillary,949439689139268,JPN,Japan,,Prefecture,JPN.8_1,JP.FS,JP-07,Fukushima,福島県,Ken,Hukusima,,City,JPN.8.3_1,JP.FS.AZ,Aizuwakamatsu,会津若松市,Shi,,,,,,,,,,,,,,,,,,,,
0035a5ac-c2fd-481e-8808-5059d40e074e,Mapillary,207668667838501,SXM,Sint Maarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0035a5b3-8405-439d-88c6-5c375b4d2421,Mapillary,1450708531934235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0035a72d-6d95-449b-9ade-53a3b2b22ff6,Mapillary,508748320169210,IDN,Indonesia,31.0,Province,IDN.7_1,ID.JK,ID-JK,Jakarta Raya,,Propinisi,,3171.0,City,IDN.7.3_1,ID.JK.JS,Jakarta Selatan,,Kota,,3171090.0,Sub-district,IDN.7.3.12_1,,Tebet,,Kecamatan,,3171090001.0,Urban Community,IDN.7.3.12.5_1,Menteng Dalam,Kelurahan,,,,,,
0035a8a8-9ade-4e27-8a35-9c978048536d,Mapillary,472866877105335,EST,Estonia,,County,EST.1_1,EE.HA,,Harju,,Maakond,Harjumaa|Harju maakond,,Town,EST.1.20_1,EE.HA.TA,Tallinn,,Linn,,,Administrative District,EST.1.20.3_1,,Kesklinna,,Linnaosa,,,,,,,,,,,,
